state,Denominator,prevalence_per_1000,lower_ci,upper_ci,Prevalence Range,Show Lower and Upper CI,year,data_set
Alabama,35472.0,3.3,2.7,3.9,<10,Yes,2002,ADDM Network*
Alabama,11676.0,4.6,3.5,6.0,<10,Yes,2004,ADDM Network*
Alabama,35126.0,6.0,5.3,6.9,<10,Yes,2006,ADDM Network*
Alabama,36566.0,4.8,4.1,5.5,<10,Yes,2008,ADDM Network*
Alabama,21833.0,5.7,4.8,6.8,<10,Yes,2010,ADDM Network*
Alabama,252812.0,1.5,1.3,1.6,<10,Yes,2000,Medicaid
Alabama,273698.0,1.6,1.5,1.8,<10,Yes,2001,Medicaid
Alabama,301754.0,1.8,1.6,1.9,<10,Yes,2002,Medicaid
Alabama,317920.0,2.0,1.9,2.2,<10,Yes,2003,Medicaid
Alabama,326144.0,19.5,19.0,19.9,10 to <20,Yes,2004,Medicaid
Alabama,330980.0,19.8,19.4,20.3,10 to <20,Yes,2005,Medicaid
Alabama,326457.0,20.6,20.1,21.1,20 to <30,Yes,2006,Medicaid
Alabama,321738.0,21.3,20.8,21.8,20 to <30,Yes,2007,Medicaid
Alabama,327245.0,20.6,20.1,21.1,20 to <30,Yes,2008,Medicaid
Alabama,353220.0,18.7,18.3,19.2,10 to <20,Yes,2009,Medicaid
Alabama,389115.0,17.2,16.8,17.6,10 to <20,Yes,2010,Medicaid
Alabama,414969.0,16.3,15.9,16.7,10 to <20,Yes,2011,Medicaid
Alabama,429550.0,15.5,15.1,15.8,10 to <20,Yes,2012,Medicaid
Alabama,429978.0,14.6,14.2,14.9,10 to <20,Yes,2013,Medicaid
Alabama,548725.0,13.4,13.1,13.7,10 to <20,Yes,2016,Medicaid
Alabama,550235.0,13.7,13.3,14.0,10 to <20,Yes,2017,Medicaid
Alabama,555849.0,13.1,12.8,13.4,10 to <20,Yes,2018,Medicaid
Alabama,554687.0,14.7,14.4,15.0,10 to <20,Yes,2019,Medicaid
Alabama,551943.0,16.4,16.1,16.8,10 to <20,Yes,2020,Medicaid
Alabama,578377.0,17.6,17.2,17.9,10 to <20,Yes,2021,Medicaid
Alabama,604691.0,18.8,18.4,19.1,10 to <20,Yes,2022,Medicaid
Alabama,2855.0,29.7,21.9,40.2,20 to <30,Yes,2020,National Survey of Children's Health†
Alabama,1306.0,30.3,21.3,42.8,30+,Yes,2022,National Survey of Children's Health†
Alabama,674044.0,1.1,1.0,1.2,<10,Yes,2000,Special Education Child Count
Alabama,671201.0,1.3,1.2,1.3,<10,Yes,2001,Special Education Child Count
Alabama,674152.0,1.5,1.4,1.6,<10,Yes,2002,Special Education Child Count
Alabama,672827.0,1.8,1.7,2.0,<10,Yes,2003,Special Education Child Count
Alabama,671182.0,2.2,2.1,2.3,<10,Yes,2004,Special Education Child Count
Alabama,678578.0,2.6,2.5,2.7,<10,Yes,2005,Special Education Child Count
Alabama,681551.0,3.0,2.9,3.1,<10,Yes,2006,Special Education Child Count
Alabama,683355.0,3.5,3.3,3.6,<10,Yes,2007,Special Education Child Count
Alabama,682993.0,4.1,3.9,4.3,<10,Yes,2008,Special Education Child Count
Alabama,684096.0,4.7,4.6,4.9,<10,Yes,2009,Special Education Child Count
Alabama,689708.0,5.4,5.2,5.6,<10,Yes,2010,Special Education Child Count
Alabama,678737.0,6.1,5.9,6.3,<10,Yes,2011,Special Education Child Count
Alabama,676177.0,6.8,6.6,7.0,<10,Yes,2012,Special Education Child Count
Alabama,677032.0,7.5,7.3,7.7,<10,Yes,2013,Special Education Child Count
Alabama,675149.0,8.1,7.9,8.3,<10,Yes,2014,Special Education Child Count
Alabama,674946.0,8.6,8.4,8.8,<10,Yes,2015,Special Education Child Count
Alabama,674701.0,9.1,8.9,9.3,<10,Yes,2016,Special Education Child Count
Alabama,671939.0,9.8,9.6,10.0,<10,Yes,2017,Special Education Child Count
Alabama,667531.0,10.4,10.2,10.7,10 to <20,Yes,2018,Special Education Child Count
Alabama,668122.0,11.2,10.9,11.4,10 to <20,Yes,2019,Special Education Child Count
Alabama,662746.0,12.3,12.1,12.6,10 to <20,Yes,2020,Special Education Child Count
Alabama,668106.0,12.9,12.6,13.1,10 to <20,Yes,2021,Special Education Child Count
Alabama,670508.0,14.4,14.1,14.6,10 to <20,Yes,2022,Special Education Child Count
Alaska,50342.0,3.3,2.8,3.8,<10,Yes,2000,Medicaid
Alaska,54204.0,3.6,3.1,4.1,<10,Yes,2001,Medicaid
Alaska,57115.0,3.9,3.4,4.4,<10,Yes,2002,Medicaid
Alaska,59663.0,4.2,3.7,4.7,<10,Yes,2003,Medicaid
Alaska,59999.0,4.4,3.9,5.0,<10,Yes,2004,Medicaid
Alaska,60366.0,5.3,4.7,5.9,<10,Yes,2005,Medicaid
Alaska,58451.0,6.3,5.7,7.0,<10,Yes,2006,Medicaid
Alaska,55320.0,7.1,6.5,7.9,<10,Yes,2007,Medicaid
Alaska,55208.0,7.4,6.7,8.1,<10,Yes,2008,Medicaid
Alaska,57055.0,8.1,7.4,8.9,<10,Yes,2009,Medicaid
Alaska,62444.0,9.0,8.3,9.8,<10,Yes,2010,Medicaid
Alaska,64970.0,9.7,9.0,10.5,<10,Yes,2011,Medicaid
Alaska,66294.0,11.4,10.6,12.2,10 to <20,Yes,2012,Medicaid
Alaska,67016.0,12.7,11.8,13.5,10 to <20,Yes,2013,Medicaid
Alaska,70198.0,14.9,14.0,15.8,10 to <20,Yes,2016,Medicaid
Alaska,75695.0,14.7,13.8,15.6,10 to <20,Yes,2017,Medicaid
Alaska,79000.0,16.0,15.1,16.8,10 to <20,Yes,2018,Medicaid
Alaska,81729.0,16.6,15.7,17.4,10 to <20,Yes,2019,Medicaid
Alaska,83450.0,16.0,15.1,16.8,10 to <20,Yes,2020,Medicaid
Alaska,84741.0,15.9,15.0,16.7,10 to <20,Yes,2021,Medicaid
Alaska,86730.0,16.8,16.0,17.7,10 to <20,Yes,2022,Medicaid
Alaska,1550.0,21.5,12.7,35.9,20 to <30,Yes,2011,National Survey of Children's Health†
Alaska,2613.0,24.7,18.6,32.8,20 to <30,Yes,2020,National Survey of Children's Health†
Alaska,1359.0,33.2,22.0,49.7,30+,Yes,2022,National Survey of Children's Health†
Alaska,122469.0,1.6,1.4,1.8,<10,Yes,2000,Special Education Child Count
